,path,w,h,k,use8neighbors,structure,read_file_time,convert_time,tiempo_algoritmo,disk_time,var,tiempo total,tiemp_algoritmo,tiempo algoritmo (millisegs),tiempo algoritmo,filename,clusters,iteration,iteracion,imagen
36,gray_mandril.txt,141,141,10,1,2,13.0,142,52,3.0,56,212,52.0,49.0,52,gray_mandril.txt,4874,1.0,1,mandril
37,gray_mandril.txt,141,141,10,1,2,13.0,142,52,3.0,56,212,52.0,49.0,52,gray_mandril.txt,1239,1.0,1,mandril
38,gray_mandril.txt,141,141,10,1,2,13.0,142,52,3.0,56,212,52.0,49.0,52,gray_mandril.txt,4874,1.0,1,mandril
39,gray_mandril.txt,141,141,10,1,2,13.0,142,52,3.0,56,212,52.0,49.0,52,gray_mandril.txt,4874,1.0,1,mandril
40,gray_mandril.txt,141,141,10,1,2,13.0,142,52,3.0,56,212,52.0,49.0,52,gray_mandril.txt,1239,1.0,1,mandril
41,gray_mandril.txt,141,141,10,1,2,13.0,142,52,3.0,56,212,52.0,49.0,52,gray_mandril.txt,1239,1.0,1,mandril
42,gray_mandril.txt,141,141,10,1,2,11.0,141,41,4.0,46,200,41.0,37.0,41,gray_mandril.txt,4874,1.0,1,mandril
43,gray_mandril.txt,141,141,10,1,2,11.0,141,41,4.0,46,200,41.0,37.0,41,gray_mandril.txt,1239,1.0,1,mandril
44,gray_mandril.txt,141,141,10,1,2,11.0,141,41,4.0,46,200,41.0,37.0,41,gray_mandril.txt,4874,1.0,1,mandril
45,gray_mandril.txt,141,141,10,1,2,11.0,141,41,4.0,46,200,41.0,37.0,41,gray_mandril.txt,4874,1.0,1,mandril
46,gray_mandril.txt,141,141,10,1,2,11.0,141,41,4.0,46,200,41.0,37.0,41,gray_mandril.txt,1239,1.0,1,mandril
47,gray_mandril.txt,141,141,10,1,2,11.0,141,41,4.0,46,200,41.0,37.0,41,gray_mandril.txt,1239,1.0,1,mandril
48,gray_mandril.txt,141,141,10,1,2,12.0,145,41,3.0,45,203,41.0,38.0,41,gray_mandril.txt,4874,1.0,1,mandril
49,gray_mandril.txt,141,141,10,1,2,12.0,145,41,3.0,45,203,41.0,38.0,41,gray_mandril.txt,1239,1.0,1,mandril
50,gray_mandril.txt,141,141,10,1,2,12.0,145,41,3.0,45,203,41.0,38.0,41,gray_mandril.txt,4874,1.0,1,mandril
51,gray_mandril.txt,141,141,10,1,2,12.0,145,41,3.0,45,203,41.0,38.0,41,gray_mandril.txt,4874,1.0,1,mandril
52,gray_mandril.txt,141,141,10,1,2,12.0,145,41,3.0,45,203,41.0,38.0,41,gray_mandril.txt,1239,1.0,1,mandril
53,gray_mandril.txt,141,141,10,1,2,12.0,145,41,3.0,45,203,41.0,38.0,41,gray_mandril.txt,1239,1.0,1,mandril
54,gray_mandril.txt,141,141,10,1,2,13.0,141,40,3.0,43,198,40.0,37.0,40,gray_mandril.txt,4874,1.0,1,mandril
55,gray_mandril.txt,141,141,10,1,2,13.0,141,40,3.0,43,198,40.0,37.0,40,gray_mandril.txt,1239,1.0,1,mandril
56,gray_mandril.txt,141,141,10,1,2,13.0,141,40,3.0,43,198,40.0,37.0,40,gray_mandril.txt,4874,1.0,1,mandril
57,gray_mandril.txt,141,141,10,1,2,13.0,141,40,3.0,43,198,40.0,37.0,40,gray_mandril.txt,4874,1.0,1,mandril
58,gray_mandril.txt,141,141,10,1,2,13.0,141,40,3.0,43,198,40.0,37.0,40,gray_mandril.txt,1239,1.0,1,mandril
59,gray_mandril.txt,141,141,10,1,2,13.0,141,40,3.0,43,198,40.0,37.0,40,gray_mandril.txt,1239,1.0,1,mandril
60,gray_mandril.txt,141,141,10,1,2,13.0,141,41,2.0,44,199,41.0,39.0,41,gray_mandril.txt,4874,1.0,1,mandril
61,gray_mandril.txt,141,141,10,1,2,13.0,141,41,2.0,44,199,41.0,39.0,41,gray_mandril.txt,1239,1.0,1,mandril
62,gray_mandril.txt,141,141,10,1,2,13.0,141,41,2.0,44,199,41.0,39.0,41,gray_mandril.txt,4874,1.0,1,mandril
63,gray_mandril.txt,141,141,10,1,2,13.0,141,41,2.0,44,199,41.0,39.0,41,gray_mandril.txt,4874,1.0,1,mandril
64,gray_mandril.txt,141,141,10,1,2,13.0,141,41,2.0,44,199,41.0,39.0,41,gray_mandril.txt,1239,1.0,1,mandril
65,gray_mandril.txt,141,141,10,1,2,13.0,141,41,2.0,44,199,41.0,39.0,41,gray_mandril.txt,1239,1.0,1,mandril
66,gray_mandril.txt,141,141,10,1,2,24.0,145,40,2.0,43,212,40.0,38.0,40,gray_mandril.txt,4874,1.0,1,mandril
67,gray_mandril.txt,141,141,10,1,2,24.0,145,40,2.0,43,212,40.0,38.0,40,gray_mandril.txt,1239,1.0,1,mandril
68,gray_mandril.txt,141,141,10,1,2,24.0,145,40,2.0,43,212,40.0,38.0,40,gray_mandril.txt,4874,1.0,1,mandril
69,gray_mandril.txt,141,141,10,1,2,24.0,145,40,2.0,43,212,40.0,38.0,40,gray_mandril.txt,4874,1.0,1,mandril
70,gray_mandril.txt,141,141,10,1,2,24.0,145,40,2.0,43,212,40.0,38.0,40,gray_mandril.txt,1239,1.0,1,mandril
71,gray_mandril.txt,141,141,10,1,2,24.0,145,40,2.0,43,212,40.0,38.0,40,gray_mandril.txt,1239,1.0,1,mandril
72,gray_mandril.txt,141,141,10,1,2,12.0,147,42,2.0,45,205,42.0,40.0,42,gray_mandril.txt,4874,1.0,1,mandril
73,gray_mandril.txt,141,141,10,1,2,12.0,147,42,2.0,45,205,42.0,40.0,42,gray_mandril.txt,1239,1.0,1,mandril
74,gray_mandril.txt,141,141,10,1,2,12.0,147,42,2.0,45,205,42.0,40.0,42,gray_mandril.txt,4874,1.0,1,mandril
75,gray_mandril.txt,141,141,10,1,2,12.0,147,42,2.0,45,205,42.0,40.0,42,gray_mandril.txt,4874,1.0,1,mandril
76,gray_mandril.txt,141,141,10,1,2,12.0,147,42,2.0,45,205,42.0,40.0,42,gray_mandril.txt,1239,1.0,1,mandril
77,gray_mandril.txt,141,141,10,1,2,12.0,147,42,2.0,45,205,42.0,40.0,42,gray_mandril.txt,1239,1.0,1,mandril
78,gray_mandril.txt,141,141,10,1,2,13.0,144,41,2.0,44,202,41.0,39.0,41,gray_mandril.txt,4874,1.0,1,mandril
79,gray_mandril.txt,141,141,10,1,2,13.0,144,41,2.0,44,202,41.0,39.0,41,gray_mandril.txt,1239,1.0,1,mandril
80,gray_mandril.txt,141,141,10,1,2,13.0,144,41,2.0,44,202,41.0,39.0,41,gray_mandril.txt,4874,1.0,1,mandril
81,gray_mandril.txt,141,141,10,1,2,13.0,144,41,2.0,44,202,41.0,39.0,41,gray_mandril.txt,4874,1.0,1,mandril
82,gray_mandril.txt,141,141,10,1,2,13.0,144,41,2.0,44,202,41.0,39.0,41,gray_mandril.txt,1239,1.0,1,mandril
83,gray_mandril.txt,141,141,10,1,2,13.0,144,41,2.0,44,202,41.0,39.0,41,gray_mandril.txt,1239,1.0,1,mandril
84,gray_mandril.txt,141,141,10,1,2,13.0,151,42,2.0,45,209,42.0,40.0,42,gray_mandril.txt,4874,1.0,1,mandril
85,gray_mandril.txt,141,141,10,1,2,13.0,151,42,2.0,45,209,42.0,40.0,42,gray_mandril.txt,1239,1.0,1,mandril
